"tripmode","tourmode","purpose","value","grp_var"
"1","Auto SOV","work",165795,"worktourmode1"
"2","Auto SOV","work",0,"worktourmode1"
"3","Auto SOV","work",0,"worktourmode1"
"4","Auto SOV","work",0,"worktourmode1"
"5","Auto SOV","work",0,"worktourmode1"
"6","Auto SOV","work",0,"worktourmode1"
"7","Auto SOV","work",0,"worktourmode1"
"8","Auto SOV","work",0,"worktourmode1"
"9","Auto SOV","work",0,"worktourmode1"
"1","Auto 2 Person","work",12999,"worktourmode2"
"2","Auto 2 Person","work",21820,"worktourmode2"
"3","Auto 2 Person","work",3377,"worktourmode2"
"4","Auto 2 Person","work",157,"worktourmode2"
"5","Auto 2 Person","work",0,"worktourmode2"
"6","Auto 2 Person","work",0,"worktourmode2"
"7","Auto 2 Person","work",0,"worktourmode2"
"8","Auto 2 Person","work",0,"worktourmode2"
"9","Auto 2 Person","work",0,"worktourmode2"
"1","Auto 3+ Person","work",3861,"worktourmode3"
"2","Auto 3+ Person","work",2624,"worktourmode3"
"3","Auto 3+ Person","work",9660,"worktourmode3"
"4","Auto 3+ Person","work",14,"worktourmode3"
"5","Auto 3+ Person","work",0,"worktourmode3"
"6","Auto 3+ Person","work",0,"worktourmode3"
"7","Auto 3+ Person","work",0,"worktourmode3"
"8","Auto 3+ Person","work",0,"worktourmode3"
"9","Auto 3+ Person","work",0,"worktourmode3"
"1","Walk","work",0,"worktourmode4"
"2","Walk","work",0,"worktourmode4"
"3","Walk","work",0,"worktourmode4"
"4","Walk","work",4332,"worktourmode4"
"5","Walk","work",0,"worktourmode4"
"6","Walk","work",0,"worktourmode4"
"7","Walk","work",0,"worktourmode4"
"8","Walk","work",0,"worktourmode4"
"9","Walk","work",0,"worktourmode4"
"1","Bike/Moped","work",0,"worktourmode5"
"2","Bike/Moped","work",0,"worktourmode5"
"3","Bike/Moped","work",0,"worktourmode5"
"4","Bike/Moped","work",0,"worktourmode5"
"5","Bike/Moped","work",6779,"worktourmode5"
"6","Bike/Moped","work",0,"worktourmode5"
"7","Bike/Moped","work",0,"worktourmode5"
"8","Bike/Moped","work",0,"worktourmode5"
"9","Bike/Moped","work",0,"worktourmode5"
"1","Walk-Transit","work",0,"worktourmode6"
"2","Walk-Transit","work",73,"worktourmode6"
"3","Walk-Transit","work",1,"worktourmode6"
"4","Walk-Transit","work",94,"worktourmode6"
"5","Walk-Transit","work",0,"worktourmode6"
"6","Walk-Transit","work",531,"worktourmode6"
"7","Walk-Transit","work",0,"worktourmode6"
"8","Walk-Transit","work",0,"worktourmode6"
"9","Walk-Transit","work",0,"worktourmode6"
"1","PNR-Transit","work",0,"worktourmode7"
"2","PNR-Transit","work",0,"worktourmode7"
"3","PNR-Transit","work",0,"worktourmode7"
"4","PNR-Transit","work",0,"worktourmode7"
"5","PNR-Transit","work",0,"worktourmode7"
"6","PNR-Transit","work",0,"worktourmode7"
"7","PNR-Transit","work",0,"worktourmode7"
"8","PNR-Transit","work",0,"worktourmode7"
"9","PNR-Transit","work",0,"worktourmode7"
"1","KNR-Transit","work",0,"worktourmode8"
"2","KNR-Transit","work",0,"worktourmode8"
"3","KNR-Transit","work",0,"worktourmode8"
"4","KNR-Transit","work",0,"worktourmode8"
"5","KNR-Transit","work",0,"worktourmode8"
"6","KNR-Transit","work",0,"worktourmode8"
"7","KNR-Transit","work",0,"worktourmode8"
"8","KNR-Transit","work",0,"worktourmode8"
"9","KNR-Transit","work",0,"worktourmode8"
"1","School Bus","work",0,"worktourmode9"
"2","School Bus","work",0,"worktourmode9"
"3","School Bus","work",0,"worktourmode9"
"4","School Bus","work",0,"worktourmode9"
"5","School Bus","work",0,"worktourmode9"
"6","School Bus","work",0,"worktourmode9"
"7","School Bus","work",0,"worktourmode9"
"8","School Bus","work",0,"worktourmode9"
"9","School Bus","work",0,"worktourmode9"
"1","Total","work",182655,"workTotal"
"2","Total","work",24517,"workTotal"
"3","Total","work",13038,"workTotal"
"4","Total","work",4597,"workTotal"
"5","Total","work",6779,"workTotal"
"6","Total","work",531,"workTotal"
"7","Total","work",0,"workTotal"
"8","Total","work",0,"workTotal"
"9","Total","work",0,"workTotal"
"1","Auto SOV","univ",9894,"univtourmode1"
"2","Auto SOV","univ",0,"univtourmode1"
"3","Auto SOV","univ",0,"univtourmode1"
"4","Auto SOV","univ",0,"univtourmode1"
"5","Auto SOV","univ",0,"univtourmode1"
"6","Auto SOV","univ",0,"univtourmode1"
"7","Auto SOV","univ",0,"univtourmode1"
"8","Auto SOV","univ",0,"univtourmode1"
"9","Auto SOV","univ",0,"univtourmode1"
"1","Auto 2 Person","univ",583,"univtourmode2"
"2","Auto 2 Person","univ",2176,"univtourmode2"
"3","Auto 2 Person","univ",226,"univtourmode2"
"4","Auto 2 Person","univ",67,"univtourmode2"
"5","Auto 2 Person","univ",0,"univtourmode2"
"6","Auto 2 Person","univ",0,"univtourmode2"
"7","Auto 2 Person","univ",0,"univtourmode2"
"8","Auto 2 Person","univ",0,"univtourmode2"
"9","Auto 2 Person","univ",0,"univtourmode2"
"1","Auto 3+ Person","univ",224,"univtourmode3"
"2","Auto 3+ Person","univ",161,"univtourmode3"
"3","Auto 3+ Person","univ",1835,"univtourmode3"
"4","Auto 3+ Person","univ",52,"univtourmode3"
"5","Auto 3+ Person","univ",0,"univtourmode3"
"6","Auto 3+ Person","univ",0,"univtourmode3"
"7","Auto 3+ Person","univ",0,"univtourmode3"
"8","Auto 3+ Person","univ",0,"univtourmode3"
"9","Auto 3+ Person","univ",0,"univtourmode3"
"1","Walk","univ",0,"univtourmode4"
"2","Walk","univ",0,"univtourmode4"
"3","Walk","univ",0,"univtourmode4"
"4","Walk","univ",1281,"univtourmode4"
"5","Walk","univ",0,"univtourmode4"
"6","Walk","univ",0,"univtourmode4"
"7","Walk","univ",0,"univtourmode4"
"8","Walk","univ",0,"univtourmode4"
"9","Walk","univ",0,"univtourmode4"
"1","Bike/Moped","univ",0,"univtourmode5"
"2","Bike/Moped","univ",0,"univtourmode5"
"3","Bike/Moped","univ",0,"univtourmode5"
"4","Bike/Moped","univ",0,"univtourmode5"
"5","Bike/Moped","univ",275,"univtourmode5"
"6","Bike/Moped","univ",0,"univtourmode5"
"7","Bike/Moped","univ",0,"univtourmode5"
"8","Bike/Moped","univ",0,"univtourmode5"
"9","Bike/Moped","univ",0,"univtourmode5"
"1","Walk-Transit","univ",0,"univtourmode6"
"2","Walk-Transit","univ",6,"univtourmode6"
"3","Walk-Transit","univ",2,"univtourmode6"
"4","Walk-Transit","univ",25,"univtourmode6"
"5","Walk-Transit","univ",0,"univtourmode6"
"6","Walk-Transit","univ",156,"univtourmode6"
"7","Walk-Transit","univ",0,"univtourmode6"
"8","Walk-Transit","univ",0,"univtourmode6"
"9","Walk-Transit","univ",0,"univtourmode6"
"1","PNR-Transit","univ",0,"univtourmode7"
"2","PNR-Transit","univ",0,"univtourmode7"
"3","PNR-Transit","univ",0,"univtourmode7"
"4","PNR-Transit","univ",0,"univtourmode7"
"5","PNR-Transit","univ",0,"univtourmode7"
"6","PNR-Transit","univ",0,"univtourmode7"
"7","PNR-Transit","univ",0,"univtourmode7"
"8","PNR-Transit","univ",0,"univtourmode7"
"9","PNR-Transit","univ",0,"univtourmode7"
"1","KNR-Transit","univ",0,"univtourmode8"
"2","KNR-Transit","univ",0,"univtourmode8"
"3","KNR-Transit","univ",3,"univtourmode8"
"4","KNR-Transit","univ",0,"univtourmode8"
"5","KNR-Transit","univ",0,"univtourmode8"
"6","KNR-Transit","univ",0,"univtourmode8"
"7","KNR-Transit","univ",0,"univtourmode8"
"8","KNR-Transit","univ",0,"univtourmode8"
"9","KNR-Transit","univ",0,"univtourmode8"
"1","School Bus","univ",0,"univtourmode9"
"2","School Bus","univ",0,"univtourmode9"
